ten_mon,ten_khac_bien_the,nhom_mon,mo_ta_ngan,thanh_phan_dac_trung,khu_vuc_pho_bien_o_Ha_Noi,an_sang_trua_toi_an_vat,muc_do_pho_bien,nguon_tham_khao
Pizza hải sản,seafood pizza,Món Ý/quốc tế,"Pizza phủ tôm mực và phô mai, biến thể phổ biến tại chuỗi.","bột mì, sốt cà chua, mozzarella, tôm, mực",Toàn thành phố; trung tâm thương mại; giao đồ ăn,trưa; tối,Rất phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Lẩu nướng không khói,buffet lẩu nướng,Mô hình ăn nhóm,"Kết hợp thịt nướng tại bàn và lẩu, phổ biến ở chuỗi/buffet.","thịt bò, thịt lợn, hải sản, rau, nước lẩu",Cầu Giấy; Thanh Xuân; trung tâm thương mại,trưa; tối,Rất phổ biến,https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Bánh cốm,bánh cốm Hàng Than,Quà Hà Nội,Bánh dẻo xanh từ cốm với nhân đậu xanh dừa.,"cốm, đậu xanh, đường, dừa",Hàng Than; phố cổ,ăn vặt,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Cốm làng Vòng,cốm non; cốm dẹp Hà Nội,Quà Hà Nội,"Hạt nếp non rang giã, gói lá sen và ăn trực tiếp.","nếp non, lá sen/lá ráy",Cầu Giấy; làng Vòng; phố cổ,ăn vặt,Biểu tượng/mùa vụ,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Ô mai,xí muội; ô mai sấu; ô mai mơ,Quà Hà Nội,"Trái cây sấy/ngâm vị chua mặn ngọt, thường dùng làm quà.","mơ/mận/sấu, đường, muối, gừng, cam thảo",Hàng Đường; phố cổ,ăn vặt,Biểu tượng,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Bánh đúc nóng,bánh đúc thịt,Quà nóng Hà Nội,"Bánh đúc mềm nóng phủ thịt băm mộc nhĩ, chan nước mắm.","bột gạo, bột năng, thịt băm, mộc nhĩ, hành phi",Phố cổ; Lê Ngọc Hân; chợ,ăn vặt; tối,Phổ biến,https://vietnam.travel/node/1560
Bánh đúc lạc,bánh đúc nguội,Quà quê miền Bắc,"Bánh đúc đặc có lạc, ăn với tương hoặc canh cua.","bột gạo, lạc, nước vôi trong, tương",Chợ dân sinh; ngoại thành,sáng; ăn vặt,Khá phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Sấu dầm,sấu ngâm; sấu dầm muối ớt,Quà vặt Hà Nội,"Quả sấu chua dầm đường, muối ớt hoặc ngâm làm đồ giải khát.","sấu, đường, muối, ớt, gừng",Phố cổ; chợ; hàng rong,ăn vặt,Phổ biến/mùa vụ,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Salad Caesar,Caesar salad gà,Salad quốc tế,"Xà lách romaine trộn sốt Caesar, bánh mì giòn và parmesan.","xà lách romaine, parmesan, crouton, sốt Caesar, gà tùy chọn",Quán Âu; khách sạn; trung tâm thương mại,trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/must-try-food-in-hanoi; https://vietnamtourism.vn/en/index.php/services/restaurants/search/19
Xôi gà,xôi gà xé; xôi gà nấm,Xôi,"Xôi dẻo với gà xé, hành phi và nước sốt đậm vị.","gạo nếp, gà, hành phi, nấm, sốt",Toàn thành phố,sáng; trưa; tối,Phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Xôi mặn,xôi chả; xôi thịt; xôi pate,Xôi,"Xôi nếp ăn cùng chả, thịt kho, ruốc hoặc pa-tê.","gạo nếp, chả, thịt, ruốc, pate, hành phi",Toàn thành phố,sáng; tối; ăn vặt,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
Xôi xéo,xôi đậu xanh hành phi,Xôi Hà Nội,"Xôi nếp vàng phủ đậu xanh thái mỏng và hành phi, thường thêm ruốc/chả.","gạo nếp, đậu xanh, nghệ, mỡ hành, hành phi",Phố cổ; chợ; toàn thành phố,sáng; ăn vặt,Rất phổ biến,https://www.vietnam.travel/things-to-do/10-must-try-hanoi-dishes/
Xôi khúc,khúc; bánh khúc,Xôi và bánh nếp,"Viên nếp bọc nhân đậu xanh thịt mỡ, thơm lá khúc.","gạo nếp, bột nếp, lá khúc, đậu xanh, thịt lợn",Phố cổ; hàng rong; chợ,sáng; ăn vặt; tối,Rất phổ biến,https://vietnam.travel/things-to-do/vietnam-foodie-guide-region
